Pandit Deendayal Energy University,,,,,,,,,,,,
School of Technology,,,,,,,,,,,,
B.Tech - Computer Engineering,,,,,,,,,,,,
Semester : 5 (3),,,,,,,,,,,,
"Odd Semester 2026, w.e.f : July 20, 2026[Printed : 13-07-2026]",,,,,,,,,,,,
Day,"08:00 to 08:55 
(Minor)",9.00 to 9. 55,10.00 to 10.55,10:55 to 11:10,11.10 to 12.05,12.10 to 1.05,13:10 to 14:05,2.10 to 3.05,3.10 to 4.05,4:05 to 4:15,4.15 to 5.10,5.15 to 6.10
Monday,MINOR,"G5G6 (24CS304T) F1-302, HMGA-L","G5G6 (24CS335T) F1-304, NIP-L",SHORT BREAK,,"G5G6 (CDC) F1-302, CDCT-L",LUNCH BREAK,"G5G6 (24CS302T) E204, SKB-L","G5G6 (24HS301T) E204, NAIK-L",SHORT BREAK,,
,,,"G5G6 (24CS333T) F1-303, SVS-L",,,,,,,,,
,,,"G5G6 (24CS331T) E203, BHB-L",,,,,,,,,
Tuesday,,"G6 (24CS304P) E309, HMGA-P",,,,"G5G6 (24CS301T) E309, AMC-L",,"G5G6 (24CS303T) E203, SVS-L","G5G6 (24HS301T) E203, NAIK-L",,,
,,"G5 (24CS303P) E307, SMP-P",,,,,,,,,,
Wednesday,,"G5G6 (24CS302T) E310, SKB-L","G5G6 (24CS304T) E310, HMGA-L",,"G5 (24CS302P) E309, LKM-P",,,"G5G6 (24CS303T) E310, SVS-L","G5G6 (CDC) E310, CDCT-L",,"G5G6 (24HS301T) E310, NAIK-L",
,,,,,"G6 (24CS302P) E309, SKB-P",,,,,,,
Thursday,,"G5G6 (24CS303T) E310, SVS-L","G5G6 (24CS335T) F1-304, NIP-L",,"G5 (24CS303P) E308, SVS-P",,,"G5G6 (24CS301T) F1-303, AMC-L",,,,
,,,"G5G6 (24CS333T) F1-303, SVS-L",,"G5 (24CS304P) E309, HMGA-P",,,,,,,
,,,"G5G6 (24CS331T) E203, BHB-L",,,,,,,,,
Friday,,"G5G6 (24CS333T) F1-303, SVS-L","G5G6 (24CS304T) F1-302, HMGA-L",,,"G5G6 (24CS301T) F1-302, AMC-L",,"G5G6 (24CS302T) E309, SKB-L",,,,
,,"G5G6 (24CS335T) F1-304, NIP-L",,,,,,,,,,
,,"G5G6 (24CS331T) E203, BHB-L",,,,,,,,,,
Saturday,,,,,,,,,,,,
Faculty Abbr.,,Faculty Name,,,Subject Abbr.,,Subject Name,,,,,
AMC,,Amitava Choudhury,,,24CS301T,,Introduction to Artificial Intelligence,,,,,
BHB,,Bhoomi Bangoria,,,24CS302P,,Computer Networks Laboratory,,,,,
CDCT,,CD Cell Trainer,,,24CS302T,,Computer Network,,,,,
HMGA,,Himanshu Gajera,,,24CS303P,,Compiler Design Laboratory,,,,,
LKM,,Laxmi Kumari,,,24CS303T,,Compiler Design,,,,,
NAIK,,Chuleshwar Naik,,,24CS304P,,Operating System Laboratory,,,,,
NIP,,Nisarg Patel,,,24CS304T,,Operating System,,,,,
SKB,,Santosh Kumar Bharti,,,24CS331T,,Data Mining and Data Warehousing,,,,,
SMP,,Samir Patel,,,24CS333T,,Computer Graphics,,,,,
SVS,,Shivangi Surati,,,24CS335T,,Advanced Data Structure and Algorithms,,,,,
,,,,,24HS301T,,Engineering Economics,,,,,
,,,,,CDC,,CD CELL,,,,,
,,,,,,,,,,,,
Dr. Santosh Bharti,,,,,Dr. Shakti Mishra,,,,Prof. Anirbid Sircar,,,
Timetable Coordinator,,,,,HoD,,,,Director (School of Technology),,,
