Pandit Deendayal Energy University,,,,,,,,,,,,
School of Technology,,,,,,,,,,,,
B.Tech - Computer Engineering,,,,,,,,,,,,
Semester : 3 (1),,,,,,,,,,,,
"Odd Semester 2026, w.e.f : July 20, 2026[Printed : 13-07-2026]",,,,,,,,,,,,
Day,"08:00 to 08:55 
(Minor Slot)",9.00 to 9. 55,10.00 to 10.55,10:55 to 11:10,11.10 to 12.05,12.10 to 1.05,13:10 to 14:05,2.10 to 3.05,3.10 to 4.05,4:05 to 4:15,4.15 to 5.10,5.15 to 6.10
Monday,MINOR,"G1G2 (24CS203T) F-503, ADSH-L","G1G2 (24CS201T) F-503, MAHE-L",SHORT BREAK,"G1G2 (24MA202T) F-503, ARA-T","G1G2 (24CS204T) F-503, PCH-L",LUNCH BREAK,"G1 (24CS203P) F-104, ADSH-P",,SHORT BREAK,,
,,,,,,,,"G2 (24CS202P) F-103, AMC-P",,,,
Tuesday,,,"G1G2 (24CS201T) F-503, MAHE-L",,"G1G2 (24CS202T) F1-304, AMC-L","G1G2 (24MA202T) F1-304, ARA-L",,,,,,
Wednesday,,"G1G2 (24CS201T) F-503, MAHE-L","G1G2 (24CS204T) F-503, PCH-L",,"G1G2 (24MA202T) F-503, ARA-L","G1G2 (24CS202T) F-503, AMC-L",,"G2 (24CS204P) E215, PCH-P",,,,
,,,,,,,,"G1 (24CS202P) F-103, AMC-P",,,,
Thursday,,"G1G2 (24CS203T) F-503, ADSH-L","G1G2 (24CS201T) F-503, MAHE-T",,"G2 (24CS203P) F-103, ADSH-P",,,,,,,
,,,,,"G1 (24CS204P) E215, PCH-P",,,,,,,
Friday,,"G1G2 (24CS203T) F-503, ADSH-L","G1G2 (24CS202T) F-503, AMC-L",,"G1G2 (24MA202T) F-503, ARA-L","G1G2 (24CS204T) F-503, PCH-L",,,,,,
Saturday,,,,,,,,,,,,
Faculty Abbr.,,Faculty Name,,,Subject Abbr.,,Subject Name,,,,,
ADSH,,Aditya Shastri,,,24CS201T,,Digital Logic and Design,,,,,
AMC,,Amitava Choudhury,,,24CS202P,,Database Management System - Lab,,,,,
ARA,,Ankush Raje,,,24CS202T,,Database Management System,,,,,
MAHE,,Mahesh Kumar,,,24CS203P,,Data Structures Lab,,,,,
PCH,,Payal Chaudhari,,,24CS203T,,Data Structures,,,,,
RAGUP,,Rajeev Gupta,,,24CS204P,,Object Oriented Programming Lab,,,,,
,,,,,24CS204T,,Object Oriented Programming,,,,,
,,,,,24MA202T,,Discrete Mathematical Structures,,,,,
,,,,,25MSCSE201T,,Introduction to Artificial Intelligence,,,,,
,,,,,,,,,,,,
Dr. Santosh Bharti,,,,,Dr. Shakti Mishra,,,,Prof. Anirbid Sircar,,,
Timetable Coordinator,,,,,HoD,,,,Director (School of Technology),,,
