Pandit Deendayal Energy University,,,,,,,,,,,,
School of Technology,,,,,,,,,,,,
B.Tech - Computer Engineering,,,,,,,,,,,,
Semester : 3 (4),,,,,,,,,,,,
"Odd Semester 2026, w.e.f : July 20, 2026[Printed : 14-07-2026]",,,,,,,,,,,,
Day,"08:00 to 08:55 
(Minor)",9.00 to 9. 55,10.00 to 10.55,10:55 to 11:10,11.10 to 12.05,12.10 to 1.05,13:10 to 14:05,2.10 to 3.05,3.10 to 4.05,4:05 to 4:15,4.15 to 5.10,5.15 to 6.10
Monday,MINOR,"G7G8 (24MA202T) F1-204, PRS-L","G7G8 (24CS201T) F1-204, PRAS-L",SHORT BREAK,"G7G8 (24CS204T) E306, DESW-L","G7G8 (24CS203T) E306, NDHI-L",LUNCH BREAK,,,SHORT BREAK,,
Tuesday,,"G7G8 (24CS201T) F1-204, PRAS-L","G7G8 (24CS202T) F1-204, SONA-L",,,"G7G8 (24CS204T) F-503, DESW-L",,"G8 (24CS202P) F-202, KALG-P",,,"G7G8 (24MA202T) F-503, PRS-L",
,,,,,,,,"G7 (24CS204P) F-203, DESW-P",,,,
Wednesday,,"G7G8 (24CS202T) F1-204, SONA-L","G7G8 (24CS201T) F1-204, PRAS-L",,"G8 (24CS203P) F-203, NDHI-P",,,"G7 (24CS203P) F-203, NDHI-P",,,"G7G8 (24CS202T) F-503, SONA-L",
,,,,,"G7 (24CS202P) F-202, SONA-P",,,"G8 (24CS204P) F-202, RITH-P",,,,
Thursday,,"G7G8 (24CS201T) F1-204, PRAS-T","G7G8 (24CS203T) E306, NDHI-L",,"G7G8 (24CS204T) F-503, DESW-L","G7G8 (24MA202T) F1-204, PRS-T",,,,,,
Friday,,"G7G8 (24CS203T) F1-204, NDHI-L","G7G8 (24MA202T) F1-204, PRS-T",,,,,,,,,
Saturday,,,,,,,,,,,,
Faculty Abbr.,,Faculty Name,,,Subject Abbr.,,Subject Name,,,,,
DESW,,Debabrata Swain,,,24CS201T,,Digital Logic and Design,,,,,
KALG,,Kalgi Gandhi,,,24CS202P,,Database Management System - Lab,,,,,
NDHI,,Nidhi Dubey,,,24CS202T,,Database Management System,,,,,
PRAS,,Prashant Dwivedy,,,24CS203P,,Data Structures Lab,,,,,
PRS,,Priyanka Singh,,,24CS203T,,Data Structures,,,,,
RITH,,Riddhi Thakkar,,,24CS204P,,Object Oriented Programming Lab,,,,,
SONA,,Sonam Nahar,,,24CS204T,,Object Oriented Programming,,,,,
,,,,,24MA202T,,Discrete Mathematical Structures,,,,,
,,,,,,,,,,,,
Dr. Santosh Bharti,,,,,Dr. Shakti Mishra,,,,Prof. Anirbid Sircar,,,
Timetable Coordinator,,,,,HoD,,,,Director (School of Technology),,,
